feature,coefficient,type
bmi,0.08469453042041833,gini_importance
age,0.0680927421212906,gini_importance
hx_smoking,0.018286782103547932,gini_importance
family_hx_hd,0.005783019308962321,gini_importance
hx_htn,0.033526533073172764,gini_importance
sbp,0.050752861039230296,gini_importance
dbp,0.05605258212418506,gini_importance
bp_meds_prior,0.048090046029435465,gini_importance
bb_prior,0.00890597242425081,gini_importance
ace_arb_prior,0.01756509227520098,gini_importance
has_pcp,0.00928326188522762,gini_importance
hx_hld,0.013324731785696566,gini_importance
hx_high_tg,0.0029648755199483015,gini_importance
statin_prior,0.010029878436737322,gini_importance
other_lipid_prior,0.003899294223201348,gini_importance
lipid_panel_checked,0.027523970274667953,gini_importance
ascvd_10yr,0.012419298003388686,gini_importance
hx_cad,0.006965766899402933,gini_importance
hx_mi_stent,0.0025021960657632025,gini_importance
hx_chf,0.0013657760996637757,gini_importance
hx_arrhythmia,0.0010428830027549554,gini_importance
hx_carotid,0.0029618821900495385,gini_importance
hx_pad,0.0005190551094468425,gini_importance
hx_cva,0.001004447912711593,gini_importance
hx_dm2,0.012064828517408817,gini_importance
dm_noninsulin,0.08307788853355765,gini_importance
on_insulin,0.006050364534866053,gini_importance
a1c_checked,0.009090547274509373,gini_importance
glucose_over_200,0.009514284262934996,gini_importance
asa_use,0.011403823464589572,gini_importance
cards_prior,0.0049834351581919,gini_importance
cards_post,0.00791926938692456,gini_importance
cards_referral,0.0008579631828792255,gini_importance
diet_counseling,0.001339349494215626,gini_importance
exercise_counseling,0.002152012904777985,gini_importance
echo_ordered,0.008635901363096976,gini_importance
ecg_done,0.002537673119367172,gini_importance
non_onc_provider,0.005789308869450386,gini_importance
days_auth_to_start,0.07146566960843996,gini_importance
days_adt_to_nht,0.12438465733673347,gini_importance
ethnicity_enc,0.041987442419298124,gini_importance
specific_nht_used_enc,0.02844598414905058,gini_importance
adt_agent_enc,0.03651559953922256,gini_importance
prescribing_provider_enc,0.044226518552129876,gini_importance
dm_noninsulin,0.08522167487684731,permutation_importance
days_adt_to_nht,0.06009852216748772,permutation_importance
bmi,0.03300492610837445,permutation_importance
days_auth_to_start,0.0275862068965518,permutation_importance
bp_meds_prior,0.023645320197044416,permutation_importance
lipid_panel_checked,0.01773399014778334,permutation_importance
age,0.01625615763546806,permutation_importance
prescribing_provider_enc,0.014778325123152792,permutation_importance
dbp,0.014285714285714379,permutation_importance
sbp,0.01280788177339911,permutation_importance
adt_agent_enc,0.01133004926108384,permutation_importance
ethnicity_enc,0.010344827586206983,permutation_importance
ace_arb_prior,0.008866995073891725,permutation_importance
bb_prior,0.008374384236453291,permutation_importance
hx_htn,0.006896551724137989,permutation_importance
hx_smoking,0.005418719211822754,permutation_importance
ascvd_10yr,0.00541871921182272,permutation_importance
non_onc_provider,0.003940886699507462,permutation_importance
specific_nht_used_enc,0.002955665024630605,permutation_importance
hx_dm2,0.0029556650246305937,permutation_importance
other_lipid_prior,0.002463054187192182,permutation_importance
statin_prior,0.0024630541871921707,permutation_importance
hx_hld,0.0024630541871921595,permutation_importance
glucose_over_200,0.0014778325123153025,permutation_importance
asa_use,0.0009852216748768906,permutation_importance
echo_ordered,0.0009852216748768682,permutation_importance
cards_referral,0.0009852216748768682,permutation_importance
cards_post,0.0,permutation_importance
ecg_done,0.0,permutation_importance
exercise_counseling,0.0,permutation_importance
diet_counseling,0.0,permutation_importance
on_insulin,0.0,permutation_importance
cards_prior,0.0,permutation_importance
hx_cva,0.0,permutation_importance
hx_carotid,0.0,permutation_importance
hx_arrhythmia,0.0,permutation_importance
hx_chf,0.0,permutation_importance
hx_mi_stent,0.0,permutation_importance
hx_cad,0.0,permutation_importance
hx_high_tg,0.0,permutation_importance
has_pcp,0.0,permutation_importance
hx_pad,0.0,permutation_importance
family_hx_hd,-0.001970443349753681,permutation_importance
a1c_checked,-0.0019704433497536923,permutation_importance
