feature,coefficient,signed_effect,type,coefficient_normalized
bmi,0.011135085739884865,-0.011135085739884865,partial_r2,0.006817800377442368
age,0.03949712237301428,-0.03949712237301428,partial_r2,0.0241833338434095
sbp,0.04339451759301283,-0.04339451759301283,partial_r2,0.026569634517033494
dbp,0.028665213167036185,-0.028665213167036185,partial_r2,0.01755116266861417
ascvd_10yr,0.09930852694477887,-0.09930852694477887,partial_r2,0.06080471478204889
days_auth_to_start,0.049346481253227825,-0.049346481253227825,partial_r2,0.03021390821524003
days_adt_to_nht,0.051909610555894936,-0.051909610555894936,partial_r2,0.031783263345085494
hx_smoking,0.02323800377075247,-0.02323800377075247,partial_r2,0.01422818598618905
family_hx_hd,0.006042097813144576,-0.006042097813144576,partial_r2,0.0036994611189609694
hx_htn,0.05066673962151724,-0.05066673962151724,partial_r2,0.03102227720421003
bp_meds_prior,0.012973440201562436,-0.012973440201562436,partial_r2,0.007943389711505978
bb_prior,0.03014792755514173,-0.03014792755514173,partial_r2,0.018459000376469102
ace_arb_prior,0.06976929524286168,-0.06976929524286168,partial_r2,0.042718407253646236
has_pcp,0.017312012922757747,-0.017312012922757747,partial_r2,0.010599814944962007
hx_hld,0.00537380916996355,-0.00537380916996355,partial_r2,0.0032902807435104295
hx_high_tg,0.04469639393272895,-0.04469639393272895,partial_r2,0.027366748540907336
statin_prior,0.07479939555883175,-0.07479939555883175,partial_r2,0.04579824162887291
other_lipid_prior,0.035952137524519756,-0.035952137524519756,partial_r2,0.02201280731108813
lipid_panel_checked,0.02460623965451636,0.02460623965451636,partial_r2,0.015065930691767948
hx_cad,0.0018004931258098766,0.0018004931258098766,partial_r2,0.00110240756106256
hx_mi_stent,0.057311643558622505,-0.057311643558622505,partial_r2,0.0350908250024718
hx_chf,0.0052750810624355715,-0.0052750810624355715,partial_r2,0.003229831408454354
hx_arrhythmia,0.015323243309369516,-0.015323243309369516,partial_r2,0.009382129285637718
hx_carotid,0.028191038822028558,-0.028191038822028558,partial_r2,0.01726083477138148
hx_pad,0.03355454742739994,-0.03355454742739994,partial_r2,0.020544808675878285
hx_cva,0.027010318747128892,-0.027010318747128892,partial_r2,0.01653790241501258
hx_dm2,0.02160537896970438,0.02160537896970438,partial_r2,0.013228560994983322
dm_noninsulin,0.09022746656088432,0.09022746656088432,partial_r2,0.05524455490908742
on_insulin,0.05389949943675032,-0.05389949943675032,partial_r2,0.03300163431050785
a1c_checked,0.05729769377188543,-0.05729769377188543,partial_r2,0.035082283814419635
glucose_over_200,0.018221616838085763,-0.018221616838085763,partial_r2,0.011156748053706127
asa_use,0.00045085318471993485,0.00045085318471993485,partial_r2,0.00027604879609902745
cards_prior,0.06886687365348054,-0.06886687365348054,partial_r2,0.04216587174593505
cards_post,0.06408950268710467,-0.06408950268710467,partial_r2,0.03924077872567453
cards_referral,0.06303027567582453,0.06303027567582453,partial_r2,0.038592234252286625
diet_counseling,0.04161118250438123,-0.04161118250438123,partial_r2,0.02547773249450767
exercise_counseling,0.014428380759807125,-0.014428380759807125,partial_r2,0.008834222033669976
echo_ordered,0.04413859624934169,-0.04413859624934169,partial_r2,0.02702521967034711
ecg_done,0.05751886853926269,-0.05751886853926269,partial_r2,0.03521770490121955
non_onc_provider,0.00915413695583045,0.00915413695583045,partial_r2,0.0056049032625828075
ethnicity_enc,0.03412211006085808,0.03412211006085808,partial_r2,0.020892316438908147
specific_nht_used_enc,0.0277826451885812,-0.0277826451885812,partial_r2,0.01701078314777438
adt_agent_enc,0.012706705435248877,0.012706705435248877,partial_r2,0.007780073107311749
prescribing_provider_enc,0.06678507627130004,-0.06678507627130004,partial_r2,0.040891226960116316
